스마트쉼터 현황,,,,,
,,,,,
시도,시군구,시설명,설치장소,상세주소,설치년도
서울,-,스마트셸터,14-015 홍대입구역(중) 버스정류소,서울 마포구 동교동 155-55,2021
서울,-,스마트셸터,14-016 홍대입구역(중) 버스정류소,서울 마포구 동교동 155-55,2021
서울,-,스마트셸터,14-011 합정역(중) 버스정류소,서울 마포구 합정동 402,2021
서울,-,스마트셸터,14-012 합정역(중) 버스정류소,서울 마포구 합정동 402,2021
서울,-,스마트셸터,02-008 숭례문(중) 버스정류소,서울 중구 남대문로5가 84-15,2021
서울,-,스마트셸터,05-232 건대입구역사거리.건대병원 버스정류소,서울 광진구 화양동 4-15,2021
서울,-,스마트셸터,16-023 강서세무서(중) 버스정류소,서울 강서구 마곡동 730-314,2022
서울,-,스마트셸터,16-024 강서세무서(중) 버스정류소,서울 강서구 마곡동 730-314,2022
서울,-,스마트셸터,12-111 구파발역2번출구 버스정류소,서울 은평구 진관동 산 100-25,2021
서울,-,스마트셸터,13-270 독립문공원.극동아파트 버스정류소,서울 서대문구 현저동 900,2021
서울,-,스마트셸터,25-013 천호역(중) 버스정류소,서울 강동구 성내동 5-19,2022
서울,-,스마트셸터,25-014 천호역(중) 버스정류소,서울 강동구 성내동 62-1,2022
서울,-,스마트셸터,24-136 송파구청.방이맛골 버스정류소,서울 송파구 방이동 95-3,2021
서울,중구,중구형 스마트쉼터,약수역7번출구·약수동주민센터 버스정류장(02-196),신당동 369-2,2023
서울,중구,중구형 스마트쉼터,명동입구 버스정류장(02-253),남대문로2가 8-2,2023
서울,중구,중구형 스마트쉼터,"약수역8번출구·신당사회복지관
버스정류장(02-195)",신당동 369-2,2023
서울,중구,중구형 스마트쉼터,"손기정체육공원입구
버스정류장(02-102)",만리동2가 33-1,2023
서울,중구,중구형 스마트쉼터,"버티고개
버스정류장(02-237)",신당동 산24-110,2023
서울,중구,중구형 스마트쉼터,"신당파인힐하나유보라
버스정류장(02-252)",신당동 433,2023
서울,중구,중구형 스마트쉼터,"황학동롯데캐슬
버스정류장(02-277)",황학동 761,2023
서울,중구,중구형 스마트쉼터,"서소문
버스정류장(02-133)",서소문동 136-1,2024
서울,중구,중구형 스마트쉼터,"퇴계로3가·한옥마을·한국의집
버스정류장(02-151)",필동1가 13-2,2024
서울,중구,중구형 스마트쉼터,"을지로입구·로얄호텔
버스정류장(02-156)",을지로2가 193-2,2024
서울,중구,중구형 스마트쉼터,"서울신문사
버스정류장(02-137)",태평로1가 63-17,2024
서울,중구,중구형 스마트쉼터,"을지로입구·시청입구
버스정류장(02-157)",을지로1가 100-1,2024
서울,중구,중구형 스마트쉼터,"을지로4가·베스트웨스턴국도
버스정류장(02-163)",을지로4가 267-1,2024
서울,중구,중구형 스마트쉼터,"서울광장
버스정류장(02-641)",을지로1가 194-2,2024
서울,중구,중구형 스마트쉼터,"시청앞
버스정류장(02-128)",태평로2가 113-1,2024
서울,중구,중구형 스마트쉼터,"동대문역사문화공원
버스정류장(02-173)",을지로6가 18-20,2024
서울,중구,중구형 스마트쉼터,"동대문역사문화공원
버스정류장(02-174)",을지로7가 143,2024
서울,중구,중구형 스마트쉼터,"명동역4번출구 
버스정류장(02-149)",남산동1가 1-1,2024
서울 ,종로구,스마트쉼터,시내버스정류장 인근,신영동 124-1,2024
서울 ,종로구,스마트쉼터,시내버스정류장 인근,숭인동 76,2024
서울,광진구,스마트 휴 쉼터,광나루지구대앞 버스정류장,서울시 광진구 아차산로 563,2022
서울,광진구,스마트 휴 쉼터,광진문화예술회관앞 버스정류장,서울시 광진구 능동로 90,2022
서울,광진구,스마트 휴 쉼터,광진구청앞 버스정류장,서울시 광진구 자양로 117,2023
서울,광진구,스마트 휴 쉼터,구의역2번출구앞 버스정류장,서울시 광진구 아차산로 411,2023
서울,성북구,스마트 에코 쉼터,길음뉴타운 10단지 버스정류장,서울시 성북구 정릉로 367-2,2021
서울,강북구,스마트쉼터,수유역 6번 출구 앞,서울시 강북구 도봉로 329 앞,2023
서울,강북구,스마트쉼터,미아사거리역 1번 출구 앞,서울시 강북구 도봉로 62 앞,2023
서울,양천구,스마트마루,목동대학학원 버스정류장,목동 406-21,2021
서울,양천구,스마트마루,신정네거리 분수광장 인근,신월동 502-5,2021
서울,양천구,스마트마루,신한은행 신월동 지점 버스정류장,신월동 545-8,2023
서울,강서구,스마트그린쉼터,방화근린공원,강서구 방화3동 855,2021
서울,강서구,스마트그린쉼터,한글어린이공원,강서구 화곡본동 56-3,2021
서울,강서구,스마트그린쉼터,양천향교역 7번 출구,강서구 강서로 463,2021
서울,강서구,스마트안전쉼터,우장산근린공원,강서구 우장산로 72-1,2021
서울,강서구,스마트그린쉼터,화곡역 6번 출구,강서구 화곡동 1074-12,2023
서울,강서구,스마트그린쉼터,우장산역 1번 출구,강서구 화곡동 1089-3,2023
서울,강서구,스마트그린쉼터,마곡나루역 4번 출구,강서구 마곡동 812,2024
서울,동작구,스마트쉼터,숭실대입구역(20-166),서울특별시 동작구 상도로 365-2,2022
서울,동작구,스마트쉼터,남성역(20-178),서울특별시 동작구사당로218,2022
서울,동작구,스마트쉼터,상도노빌리티역(20-155), 서울특별시 동작구 만양로 6,2022
서울,동작구,스마트쉼터,성대시장(20-147),서울특별시 동작구 상도동 329-2,2022
서울,동작구,스마트쉼터,신대방삼거리(20-186),서울특별시 동작구 보라매로 95-2,2022
서울,동작구,스마트쉼터,사당롯데캐슬골드포레정류소(20-213),서울특별시 동작구 사당동 산 31-37번지,2023
서울,관악구,스마트쉼터,시내버스정류장,서울 관악구 남부순환로 1640,2024
서울,관악구,스마트쉼터,시내버스정류장,서울 관악구 낙성대로 77,2024
서울,관악구,스마트쉼터,시내버스정류장,서울 관악구 관악로 1,2024
서울,노원구,스마트쉼터,상계주공10단지 버스정류소,노원구 상계동 694-1,2023
서울,동대문구,스마트쉼터,청량리역 환승센터 1번 승강장,서울 동대문구 전농동 620-67,2023
