구명,연도,분기,분야별,예산현핵(A),조회기간전,조회기간내,누계(B),비율(B÷A)
강동구,2023,1분기,대기,"     413,641,700,510",0,"      78,783,391,630","      78,783,391,630",19.05
강동구,2023,2분기,대기,"     413,641,700,510","      78,783,391,630","      96,398,219,830","     175,181,611,460",42.35
강동구,2023,3분기,대기,"     587,482,502,510","     175,181,611,460","      83,479,104,050","     258,660,715,510",44.03
강동구,2023,4분기,대기,"     599,590,954,510","     258,660,715,510","     143,348,894,450","     402,009,609,960",67.05
강동구,2024,1분기,대기,"     451,853,441,283",0,"      64,783,042,060","      64,783,042,060",14.34
강동구,2024,2분기,대기,"     469,258,841,283","      64,783,042,060","      88,497,125,680","     153,280,167,740",32.66
강동구,2024,3분기,대기,"     480,533,545,283","     153,280,167,740","     100,616,193,810","     253,896,361,550",52.84
강동구,2024,4분기,대기,"     481,673,719,283","     253,896,361,550","     111,735,339,540","     365,631,701,090",75.91
강동구,2025,1분기,대기,"     347,636,628,950",0,"      95,217,771,160","      95,217,771,160",27.39
강동구,2025,2분기,대기,"     347,636,628,950","      95,217,771,160","      74,521,812,130","     169,739,583,290",48.83
강동구,2025,3분기,대기,"     345,495,655,950","     169,739,583,290","      50,133,394,520","     219,872,977,810",63.64
강동구,2025,4분기,대기,"     371,531,557,950","     219,872,977,810","      90,106,326,110","     309,979,303,920",83.43
