집행현황,,,,,
,,,,,
분야별,예산현핵(A),조회기간전,조회기간내,누계(B),비율(B÷A)
일반공공행정,"  11,772,771,828,340","   2,380,500,960,047","   2,202,169,834,533","   4,582,670,794,580",38.93
입법및선거관리,"      37,854,688,000","       5,409,291,334","       7,029,669,598","      12,438,960,932",32.86
지방행정ㆍ재정지원,"   6,675,200,770,000","   1,272,416,879,000","   1,679,016,564,000","   2,951,433,443,000",44.21
재정ㆍ금융,"   4,323,566,728,000","     940,280,727,644","     350,629,611,340","   1,290,910,338,984",29.86
일반행정,"     736,149,642,340","     162,394,062,069","     165,493,989,595","     327,888,051,664",44.54
공공질서및안전,"   1,757,097,093,090","     345,972,506,309","     123,076,351,329","     469,048,857,638",26.69
경찰,"      16,959,595,000","       2,322,464,792","       4,004,025,320","       6,326,490,112",37.3
재난방재ㆍ민방위,"     578,284,589,500","     297,244,755,100","      46,851,220,970","     344,095,976,070",59.5
소방,"   1,161,852,908,590","      46,405,286,417","      72,221,105,039","     118,626,391,456",10.21
교육,"   4,340,661,096,350","     531,362,787,199","     927,643,483,830","   1,459,006,271,029",33.61
유아및초중등교육,"   4,299,319,443,910","     521,987,572,099","     921,939,396,980","   1,443,926,969,079",33.59
평생ㆍ직업교육,"      41,341,652,440","       9,375,215,100","       5,704,086,850","      15,079,301,950",36.47
문화및관광,"     986,525,705,587","     342,437,972,061","     212,301,877,578","     554,739,849,639",56.23
문화예술,"     403,977,546,477","      89,649,141,761","     107,921,127,544","     197,570,269,305",48.91
관광,"      84,697,323,000","      42,328,274,090","       4,976,682,920","      47,304,957,010",55.85
체육,"     193,976,785,010","      65,890,051,510","      56,469,754,730","     122,359,806,240",63.08
문화재,"     187,186,183,110","     125,255,383,780","      12,471,637,750","     137,727,021,530",73.58
문화및관광일반,"     116,687,867,990","      19,315,120,920","      30,462,674,634","      49,777,795,554",42.66
환경,"   2,628,638,318,956","     155,582,224,446","     215,514,473,673","     371,096,698,119",14.12
상하수도ㆍ수질,"   1,712,914,779,590","       2,871,626,032","      16,383,993,035","      19,255,619,067",1.12
폐기물,"     229,158,560,200","      43,002,924,110","      60,912,641,762","     103,915,565,872",45.35
대기,"     413,641,700,510","      78,783,391,630","      96,398,219,830","     175,181,611,460",42.35
자연,"      74,769,836,830","      10,036,601,600","       8,107,107,390","      18,143,708,990",24.27
환경보호일반,"     198,153,441,826","      20,887,681,074","      33,712,511,656","      54,600,192,730",27.55
사회복지,"  17,244,026,561,829","   4,552,114,392,346","   4,554,302,674,707","   9,106,417,067,053",52.81
취약계층지원,"   6,253,508,282,860","   1,922,132,285,929","   1,795,355,996,156","   3,717,488,282,085",59.45
보육ㆍ가족및여성,"   3,081,325,083,780","     933,545,246,950","     774,873,228,375","   1,708,418,475,325",55.44
노인ㆍ청소년,"   3,881,174,796,989","   1,056,165,042,805","     975,014,872,098","   2,031,179,914,903",52.33
노동,"     278,077,546,000","      70,281,316,935","      81,741,428,712","     152,022,745,647",54.67
주택,"   3,720,942,254,200","     560,674,454,632","     918,748,484,836","   1,479,422,939,468",39.76
사회복지일반,"      28,998,598,000","       9,316,045,095","       8,568,664,530","      17,884,709,625",61.67
보건,"     659,941,860,300","     213,110,054,766","     167,914,374,392","     381,024,429,158",57.74
보건의료,"     632,383,293,300","     202,988,141,566","     161,626,042,892","     364,614,184,458",57.66
식품의약안전,"      27,558,567,000","      10,121,913,200","       6,288,331,500","      16,410,244,700",59.55
농림해양수산,"     116,643,816,200","      21,221,965,497","      24,884,217,617","      46,106,183,114",39.53
농업ㆍ농촌,"     116,643,816,200","      21,221,965,497","      24,884,217,617","      46,106,183,114",39.53
산업ㆍ중소기업및에너지,"   1,182,832,409,849","     289,840,917,442","     258,183,563,416","     548,024,480,858",46.33
산업금융지원,"     372,643,137,000","      53,996,690,930","      58,898,729,360","     112,895,420,290",30.3
무역및투자유치,"      16,586,586,000","       4,887,531,980","       1,938,354,886","       6,825,886,866",41.15
산업진흥ㆍ고도화,"     636,376,236,499","     199,791,797,160","     174,752,399,881","     374,544,197,041",58.86
산업ㆍ중소기업일반,"     157,226,450,350","      31,164,897,372","      22,594,079,289","      53,758,976,661",34.19
교통및물류,"   6,816,806,123,652","   1,127,781,234,254","   1,337,312,291,150","   2,465,093,525,404",36.16
도로,"   1,349,706,556,215","     227,394,796,826","     227,599,136,591","     454,993,933,417",33.71
도시철도,"   1,663,501,159,280","     147,656,818,304","     307,677,451,318","     455,334,269,622",27.37
대중교통ㆍ물류등기타,"   3,803,598,408,157","     752,729,619,124","     802,035,703,241","   1,554,765,322,365",40.88
국토및지역개발,"   3,223,474,243,470","     171,188,818,082","     192,922,837,571","     364,111,655,653",11.3
수자원,"     201,106,522,650","      16,565,200,650","      61,594,222,030","      78,159,422,680",38.86
지역및도시,"   3,021,346,720,820","     153,602,617,432","     131,328,615,541","     284,931,232,973",9.43
산업단지,"       1,021,000,000","       1,021,000,000",                   0,"       1,021,000,000",100
과학기술,"       2,574,104,000","         331,918,670","         730,694,980","       1,062,613,650",41.28
과학기술일반,"       2,574,104,000","         331,918,670","         730,694,980","       1,062,613,650",41.28
예비비,"     114,532,986,000",                   0,                   0,                   0,0
예비비,"     114,532,986,000",                   0,                   0,                   0,0
기타,"   2,949,820,193,000","     597,753,440,750","     386,907,473,002","     984,660,913,752",33.38
기타,"   2,949,820,193,000","     597,753,440,750","     386,907,473,002","     984,660,913,752",33.38
