집행현황,,,,,
,,,,,
분야별,예산현핵(A),조회기간전,조회기간내,누계(B),비율(B÷A)
일반공공행정,"  11,277,901,352,610","   6,125,379,755,862","   4,811,241,304,035","  10,936,621,059,897",96.97
입법및선거관리,"      41,240,641,080","      24,088,159,672","      14,219,499,126","      38,307,658,798",92.89
지방행정ㆍ재정지원,"   6,742,364,311,000","   4,924,136,214,000","   1,818,228,097,000","   6,742,364,311,000",100
재정ㆍ금융,"   3,778,637,706,000","     700,941,146,680","   2,803,693,283,460","   3,504,634,430,140",92.75
일반행정,"     715,658,694,530","     476,214,235,510","     175,100,424,449","     651,314,659,959",91.01
공공질서및안전,"   2,155,238,450,380","     529,431,776,179","   1,450,782,352,802","   1,980,214,128,981",91.88
경찰,"      19,185,700,000","      14,382,796,668","       4,671,493,784","      19,054,290,452",99.32
재난방재ㆍ민방위,"     955,832,963,590","     394,507,662,577","     398,422,064,094","     792,929,726,671",82.96
소방,"   1,180,219,786,790","     120,541,316,934","   1,047,688,794,924","   1,168,230,111,858",98.98
교육,"   4,456,465,204,800","   3,036,776,089,350","   1,390,924,614,768","   4,427,700,704,118",99.35
유아및초중등교육,"   4,354,677,571,140","   2,950,703,164,590","   1,377,308,398,878","   4,328,011,563,468",99.39
고등교육,"      64,210,209,000","      58,337,303,000","       5,871,362,000","      64,208,665,000",100
평생ㆍ직업교육,"      37,577,424,660","      27,735,621,760","       7,744,853,890","      35,480,475,650",94.42
문화및관광,"   1,159,854,331,826","     926,981,334,489","     158,180,936,048","   1,085,162,270,537",93.56
문화예술,"     422,594,830,820","     329,467,202,765","      78,645,107,514","     408,112,310,279",96.57
관광,"      98,921,359,600","      89,846,545,851","       6,284,078,049","      96,130,623,900",97.18
체육,"     245,983,125,550","     189,216,306,524","      29,883,910,883","     219,100,217,407",89.07
문화재,"     279,777,853,390","     232,163,725,720","      23,874,661,756","     256,038,387,476",91.51
문화및관광일반,"     112,577,162,466","      86,287,553,629","      19,493,177,846","     105,780,731,475",93.96
환경,"   2,901,601,245,293","     582,684,669,230","     244,803,573,359","     827,488,242,589",28.52
