집행현황,,,,,
,,,,,
분야별,예산현핵(A),조회기간전,조회기간내,누계(B),비율(B÷A)
일반공공행정,"  10,729,101,049,140",                   0,"   2,005,806,639,494","   2,005,806,639,494",18.7
입법및선거관리,"      35,403,723,710",                   0,"       5,018,680,646","       5,018,680,646",14.18
지방행정ㆍ재정지원,"   6,397,493,651,000",                   0,"   1,208,769,664,760","   1,208,769,664,760",18.89
재정ㆍ금융,"   3,535,215,714,000",                   0,"     625,556,817,933","     625,556,817,933",17.7
일반행정,"     760,987,960,430",                   0,"     166,461,476,155","     166,461,476,155",21.87
공공질서및안전,"   1,801,063,104,430",                   0,"     124,064,969,313","     124,064,969,313",6.89
경찰,"      21,300,737,030",                   0,"       1,894,423,870","       1,894,423,870",8.89
재난방재ㆍ민방위,"     587,090,906,990",                   0,"      90,567,236,040","      90,567,236,040",15.43
소방,"   1,192,671,460,410",                   0,"      31,603,309,403","      31,603,309,403",2.65
교육,"   4,209,420,396,894",                   0,"     583,268,453,884","     583,268,453,884",13.86
유아및초중등교육,"   4,174,707,797,630",                   0,"     576,253,085,140","     576,253,085,140",13.8
평생ㆍ직업교육,"      34,712,599,264",                   0,"       7,015,368,744","       7,015,368,744",20.21
문화및관광,"   1,069,720,602,187",                   0,"     389,111,078,587","     389,111,078,587",36.38
문화예술,"     401,903,318,457",                   0,"     123,003,633,922","     123,003,633,922",30.61
관광,"      95,471,567,250",                   0,"      36,910,090,130","      36,910,090,130",38.66
체육,"     213,819,349,060",                   0,"      81,771,481,554","      81,771,481,554",38.24
문화재,"     231,228,326,400",                   0,"     125,484,027,920","     125,484,027,920",54.27
문화및관광일반,"     127,298,041,020",                   0,"      21,941,845,061","      21,941,845,061",17.24
환경,"   2,751,310,594,923",                   0,"     167,899,221,244","     167,899,221,244",6.1
상하수도ㆍ수질,"   1,723,005,651,060",                   0,"       4,405,454,570","       4,405,454,570",0.26
폐기물,"     262,721,710,570",                   0,"      63,330,932,253","      63,330,932,253",24.11
대기,"     451,853,441,283",                   0,"      64,783,042,060","      64,783,042,060",14.34
자연,"      80,984,646,730",                   0,"      11,879,027,483","      11,879,027,483",14.67
환경보호일반,"     232,745,145,280",                   0,"      23,500,764,878","      23,500,764,878",10.1
사회복지,"  18,153,217,954,997",                   0,"   5,588,557,861,261","   5,588,557,861,261",30.79
취약계층지원,"   6,808,801,448,207",                   0,"   2,227,691,660,327","   2,227,691,660,327",32.72
보육ㆍ가족및여성,"   3,277,401,392,320",                   0,"   1,029,698,560,820","   1,029,698,560,820",31.42
노인ㆍ청소년,"   4,149,204,189,750",                   0,"   1,451,810,535,020","   1,451,810,535,020",34.99
노동,"     270,170,662,720",                   0,"      70,833,099,247","      70,833,099,247",26.22
주택,"   3,623,164,501,000",                   0,"     796,595,400,087","     796,595,400,087",21.99
사회복지일반,"      24,475,761,000",                   0,"      11,928,605,760","      11,928,605,760",48.74
보건,"     663,417,858,440",                   0,"     243,978,460,738","     243,978,460,738",36.78
보건의료,"     626,769,099,440",                   0,"     233,106,945,528","     233,106,945,528",37.19
식품의약안전,"      36,648,759,000",                   0,"      10,871,515,210","      10,871,515,210",29.66
농림해양수산,"      59,089,436,980",                   0,"      29,057,900,968","      29,057,900,968",49.18
농업ㆍ농촌,"      59,089,436,980",                   0,"      29,057,900,968","      29,057,900,968",49.18
산업ㆍ중소기업및에너지,"   1,070,357,851,002",                   0,"     240,937,195,916","     240,937,195,916",22.51
산업금융지원,"     375,613,247,000",                   0,"      41,956,944,130","      41,956,944,130",11.17
무역및투자유치,"      17,236,269,000",                   0,"       6,298,962,786","       6,298,962,786",36.54
산업진흥ㆍ고도화,"     533,604,379,152",                   0,"     153,985,051,181","     153,985,051,181",28.86
산업ㆍ중소기업일반,"     143,903,955,850",                   0,"      38,696,237,819","      38,696,237,819",26.89
교통및물류,"   5,748,347,234,186",                   0,"     825,287,613,738","     825,287,613,738",14.36
도로,"   1,127,109,039,333",                   0,"     151,437,105,854","     151,437,105,854",13.44
도시철도,"   1,414,309,473,792",                   0,"     359,130,533,498","     359,130,533,498",25.39
대중교통ㆍ물류등기타,"   3,206,928,721,061",                   0,"     314,719,974,386","     314,719,974,386",9.81
국토및지역개발,"   2,875,560,082,561",                   0,"     145,196,219,871","     145,196,219,871",5.05
수자원,"     266,139,810,490",                   0,"      15,303,409,800","      15,303,409,800",5.75
지역및도시,"   2,609,389,315,371",                   0,"     129,892,810,071","     129,892,810,071",4.98
산업단지,"          30,956,700",                   0,                   0,                   0,0
과학기술,"       7,307,834,000",                   0,"         474,258,448","         474,258,448",6.49
과학기술일반,"       7,307,834,000",                   0,"         474,258,448","         474,258,448",6.49
예비비,"      96,886,058,000",                   0,                   0,                   0,0
예비비,"      96,886,058,000",                   0,                   0,                   0,0
기타,"   2,912,473,463,000",                   0,"     595,342,314,290","     595,342,314,290",20.44
기타,"   2,912,473,463,000",                   0,"     595,342,314,290","     595,342,314,290",20.44
