집행현황,,,,,
,,,,,
분야별,예산현핵(A),조회기간전,조회기간내,누계(B),비율(B÷A)
일반공공행정,"  11,438,040,681,610","   3,825,179,340,250","   2,300,200,415,612","   6,125,379,755,862",53.55
입법및선거관리,"      41,240,641,080","      14,846,211,361","       9,241,948,311","      24,088,159,672",58.41
지방행정ㆍ재정지원,"   6,742,364,311,000","   2,944,565,907,000","   1,979,570,307,000","   4,924,136,214,000",73.03
재정ㆍ금융,"   3,939,977,035,000","     539,576,716,140","     161,364,430,540","     700,941,146,680",17.79
일반행정,"     714,458,694,530","     326,190,505,749","     150,023,729,761","     476,214,235,510",66.65
공공질서및안전,"   1,953,169,563,380","     219,181,523,790","     310,250,252,389","     529,431,776,179",27.11
경찰,"      19,185,700,000","       7,701,118,766","       6,681,677,902","      14,382,796,668",74.97
재난방재ㆍ민방위,"     753,764,076,590","     133,146,671,066","     261,360,991,511","     394,507,662,577",52.34
소방,"   1,180,219,786,790","      78,333,733,958","      42,207,582,976","     120,541,316,934",10.21
교육,"   4,456,465,204,800","   1,704,925,307,360","   1,331,850,781,990","   3,036,776,089,350",68.14
유아및초중등교육,"   4,354,677,571,140","   1,641,854,002,160","   1,308,849,162,430","   2,950,703,164,590",67.76
고등교육,"      64,210,209,000","      44,640,858,000","      13,696,445,000","      58,337,303,000",90.85
평생ㆍ직업교육,"      37,577,424,660","      18,430,447,200","       9,305,174,560","      27,735,621,760",73.81
문화및관광,"   1,159,454,297,826","     712,545,252,054","     214,436,082,435","     926,981,334,489",79.95
문화예술,"     422,593,330,820","     245,113,830,488","      84,353,372,277","     329,467,202,765",77.96
관광,"      98,921,359,600","      66,507,483,251","      23,339,062,600","      89,846,545,851",90.83
체육,"     245,583,125,550","     135,731,389,075","      53,484,917,449","     189,216,306,524",77.05
문화재,"     279,777,853,390","     206,561,212,654","      25,602,513,066","     232,163,725,720",82.98
문화및관광일반,"     112,578,628,466","      58,631,336,586","      27,656,217,043","      86,287,553,629",76.65
환경,"   2,875,461,111,293","     415,772,838,279","     166,911,830,951","     582,684,669,230",20.26
상하수도ㆍ수질,"   1,929,850,260,540","      17,033,228,170","      12,743,075,947","      29,776,304,117",1.54
폐기물,"     299,520,632,820","     120,478,339,254","      47,463,374,889","     167,941,714,143",56.07
대기,"     345,495,655,950","     169,739,583,290","      50,133,394,520","     219,872,977,810",63.64
자연,"      92,607,410,610","      25,691,236,196","      19,737,818,969","      45,429,055,165",49.06
환경보호일반,"     207,987,151,373","      82,830,451,369","      36,834,166,626","     119,664,617,995",57.53
사회복지,"  19,247,889,826,511","  10,344,307,387,981","   4,093,750,566,436","  14,438,057,954,417",75.01
취약계층지원,"   7,383,298,675,821","   4,568,382,010,981","   1,460,783,501,049","   6,029,165,512,030",81.66
보육,"   3,065,131,870,650","   1,655,416,492,508","     741,959,339,391","   2,397,375,831,899",78.21
가족·여성,"     291,740,331,000","     166,363,968,272","      77,337,912,238","     243,701,880,510",83.53
노인,"   4,223,443,421,000","   2,271,380,604,286","     968,847,048,440","   3,240,227,652,726",76.72
청소년,"      94,534,809,800","      70,951,886,480","      11,949,284,700","      82,901,171,180",87.69
노동,"     266,493,692,000","     135,882,462,585","      62,538,518,961","     198,420,981,546",74.46
주택,"   3,898,629,791,720","   1,462,615,489,945","     765,099,224,040","   2,227,714,713,985",57.14
사회복지일반,"      24,617,234,520","      13,314,472,924","       5,235,737,617","      18,550,210,541",75.35
보건,"     797,246,413,970","     459,760,372,203","     205,401,312,304","     665,161,684,507",83.43
보건의료,"     748,665,446,970","     437,816,944,409","     202,142,097,866","     639,959,042,275",85.48
식품의약안전,"      48,580,967,000","      21,943,427,794","       3,259,214,438","      25,202,642,232",51.88
농림해양수산,"      61,894,103,190","      21,392,537,598","       4,934,867,557","      26,327,405,155",42.54
농업ㆍ농촌,"      61,894,103,190","      21,392,537,598","       4,934,867,557","      26,327,405,155",42.54
산업ㆍ중소기업및에너지,"   1,220,108,134,363","     597,022,624,927","     229,599,266,891","     826,621,891,818",67.75
산업금융지원,"     377,482,236,000","     209,562,233,050","      22,472,000,680","     232,034,233,730",61.47
무역및투자유치,"      19,309,137,000","       6,052,185,919","       5,172,337,467","      11,224,523,386",58.13
산업진흥ㆍ고도화,"     637,926,310,363","     313,551,749,500","     166,731,972,395","     480,283,721,895",75.29
산업ㆍ중소기업일반,"     185,390,451,000","      67,856,456,458","      35,222,956,349","     103,079,412,807",55.6
교통및물류,"   6,027,496,558,726","   2,255,203,698,168","     893,129,699,196","   3,148,333,397,364",52.23
도로,"   1,240,273,292,170","     581,667,339,966","     173,069,538,429","     754,736,878,395",60.85
도시철도,"   1,154,070,609,239","     496,427,192,958","     105,464,987,145","     601,892,180,103",52.15
대중교통ㆍ물류등기타,"   3,633,152,657,317","   1,177,109,165,244","     614,595,173,622","   1,791,704,338,866",49.32
국토및지역개발,"   3,256,650,308,990","     582,492,203,995","     156,164,513,991","     738,656,717,986",22.68
수자원,"     303,797,336,360","      54,110,888,340","      23,265,280,300","      77,376,168,640",25.47
지역및도시,"   2,952,852,972,630","     528,381,315,655","     132,899,233,691","     661,280,549,346",22.39
과학기술,"       7,560,933,220","       3,455,283,510","       1,703,156,570","       5,158,440,080",68.22
과학기술일반,"       7,560,933,220","       3,455,283,510","       1,703,156,570","       5,158,440,080",68.22
예비비,"      51,670,354,000",                   0,                   0,                   0,0
예비비,"      51,670,354,000",                   0,                   0,                   0,0
기타,"   3,158,840,844,000","   1,024,506,820,874","     673,681,506,019","   1,698,188,326,893",53.76
기타,"   3,158,840,844,000","   1,024,506,820,874","     673,681,506,019","   1,698,188,326,893",53.76
