집행현황,,,,,
,,,,,
분야별,예산현핵(A),조회기간전,조회기간내,누계(B),비율(B÷A)
일반공공행정,"  13,807,128,532,340","   6,826,765,157,948","   5,295,778,752,958","  12,122,543,910,906",87.8
입법및선거관리,"      39,057,616,000","      20,154,926,238","      12,167,928,545","      32,322,854,783",82.76
지방행정ㆍ재정지원,"   7,228,422,690,000","   4,561,266,640,000","   2,474,178,098,000","   7,035,444,738,000",97.33
재정ㆍ금융,"   5,766,645,413,000","   1,773,258,607,854","   2,589,322,520,441","   4,362,581,128,295",75.65
일반행정,"     773,002,813,340","     472,084,983,856","     220,110,205,972","     692,195,189,828",89.55
공공질서및안전,"   1,904,609,832,090","     586,584,260,517","   1,162,721,608,530","   1,749,305,869,047",91.85
경찰,"      17,459,595,000","       9,721,923,052","       6,757,573,627","      16,479,496,679",94.39
재난방재ㆍ민방위,"     718,775,018,500","     424,092,694,913","     151,081,453,310","     575,174,148,223",80.02
소방,"   1,168,375,218,590","     152,769,642,552","   1,004,882,581,593","   1,157,652,224,145",99.08
교육,"   4,676,553,163,350","   2,208,938,110,778","   2,221,721,069,032","   4,430,659,179,810",94.74
유아및초중등교육,"   4,635,411,510,910","   2,190,322,902,942","   2,210,184,313,727","   4,400,507,216,669",94.93
평생ㆍ직업교육,"      41,141,652,440","      18,615,207,836","      11,536,755,305","      30,151,963,141",73.29
문화및관광,"   1,038,720,697,587","     710,412,627,740","     227,363,088,296","     937,775,716,036",90.28
문화예술,"     421,335,032,477","     277,735,264,030","     104,958,188,013","     382,693,452,043",90.83
관광,"      98,522,074,000","      63,693,788,540","      31,269,033,223","      94,962,821,763",96.39
체육,"     201,398,961,010","     154,823,142,760","      33,059,664,660","     187,882,807,420",93.29
문화재,"     193,876,349,110","     155,436,348,700","      21,944,765,578","     177,381,114,278",91.49
문화및관광일반,"     123,588,280,990","      58,724,083,710","      36,131,436,822","      94,855,520,532",76.75
환경,"   2,866,904,217,956","     551,883,104,639","     313,473,016,727","     865,356,121,366",30.18
상하수도ㆍ수질,"   1,745,472,844,590","      22,504,245,387","      24,156,083,864","      46,660,329,251",2.67
폐기물,"     228,078,204,200","     147,587,966,539","      57,570,364,066","     205,158,330,605",89.95
대기,"     599,590,954,510","     258,660,715,510","     143,348,894,450","     402,009,609,960",67.05
자연,"      81,496,500,830","      24,576,027,160","      23,600,789,460","      48,176,816,620",59.12
환경보호일반,"     212,265,713,826","      98,554,150,043","      64,796,884,887","     163,351,034,930",76.96
사회복지,"  17,758,524,984,829","  12,619,914,486,928","   3,588,348,660,911","  16,208,263,147,839",91.27
취약계층지원,"   6,489,571,426,860","   5,069,697,080,413","     892,641,806,054","   5,962,338,886,467",91.88
보육ㆍ가족및여성,"   3,169,748,697,780","   2,379,911,663,594","     675,178,243,485","   3,055,089,907,079",96.38
노인ㆍ청소년,"   3,904,140,378,989","   2,936,236,613,969","     876,441,517,488","   3,812,678,131,457",97.66
노동,"     298,534,024,000","     212,271,718,992","      67,350,769,028","     279,622,488,020",93.67
주택,"   3,862,764,404,200","   1,995,079,558,385","   1,070,996,342,296","   3,066,075,900,681",79.38
사회복지일반,"      33,766,053,000","      26,717,851,575","       5,739,982,560","      32,457,834,135",96.13
보건,"     686,780,286,300","     504,358,947,154","     127,607,869,660","     631,966,816,814",92.02
보건의료,"     649,589,449,300","     485,578,577,904","     124,383,440,852","     609,962,018,756",93.9
식품의약안전,"      37,190,837,000","      18,780,369,250","       3,224,428,808","      22,004,798,058",59.17
농림해양수산,"     117,936,290,200","      67,658,638,952","      44,169,161,014","     111,827,799,966",94.82
농업ㆍ농촌,"     117,936,290,200","      67,658,638,952","      44,169,161,014","     111,827,799,966",94.82
산업ㆍ중소기업및에너지,"   1,333,264,578,849","     723,247,909,180","     279,125,165,688","   1,002,373,074,868",75.18
산업금융지원,"     426,993,970,000","     153,777,016,370","     120,527,555,870","     274,304,572,240",64.24
무역및투자유치,"      17,160,645,000","       9,646,266,041","       3,847,935,471","      13,494,201,512",78.63
산업진흥ㆍ고도화,"     689,138,140,499","     478,254,610,028","     123,936,246,777","     602,190,856,805",87.38
산업ㆍ중소기업일반,"     199,971,823,350","      81,570,016,741","      30,813,427,570","     112,383,444,311",56.2
교통및물류,"   7,806,784,074,652","   3,310,719,121,729","   3,834,025,166,578","   7,144,744,288,307",91.52
도로,"   1,396,297,623,215","     632,374,897,743","     522,909,977,088","   1,155,284,874,831",82.74
도시철도,"   1,623,048,922,280","     568,027,047,284","     901,664,047,244","   1,469,691,094,528",90.55
대중교통ㆍ물류등기타,"   4,787,437,529,157","   2,110,317,176,702","   2,409,451,142,246","   4,519,768,318,948",94.41
국토및지역개발,"   2,955,809,437,470","     502,595,294,546","   2,070,674,617,377","   2,573,269,911,923",87.06
수자원,"     205,331,892,650","      94,563,734,310","      52,971,217,179","     147,534,951,489",71.85
지역및도시,"   2,749,356,544,820","     407,010,560,236","   2,017,657,740,198","   2,424,668,300,434",88.19
산업단지,"       1,121,000,000","       1,021,000,000","          45,660,000","       1,066,660,000",95.15
과학기술,"       2,811,104,000","       1,781,108,320","         894,237,790","       2,675,346,110",95.17
과학기술일반,"       2,811,104,000","       1,781,108,320","         894,237,790","       2,675,346,110",95.17
예비비,"      77,128,471,000",                   0,                   0,                   0,0
예비비,"      77,128,471,000",                   0,                   0,                   0,0
기타,"   2,873,909,720,000","   1,434,989,741,790","     446,390,293,312","   1,881,380,035,102",65.46
기타,"   2,873,909,720,000","   1,434,989,741,790","     446,390,293,312","   1,881,380,035,102",65.46
