집행현황,,,,,
,,,,,
분야별,예산현핵(A),조회기간전,조회기간내,누계(B),비율(B÷A)
일반공공행정,"  11,102,927,657,140","   2,005,806,639,494","   2,500,806,286,750","   4,506,612,926,244",40.59
입법및선거관리,"      36,503,693,710","       5,018,680,646","       7,030,372,624","      12,049,053,270",33.01
지방행정ㆍ재정지원,"   6,539,100,736,000","   1,208,769,664,760","   1,945,062,737,000","   3,153,832,401,760",48.23
재정ㆍ금융,"   3,769,542,335,000","     625,556,817,933","     357,057,303,590","     982,614,121,523",26.07
일반행정,"     757,780,892,430","     166,461,476,155","     191,655,873,536","     358,117,349,691",47.26
공공질서및안전,"   1,956,682,531,430","     124,064,969,313","     152,563,924,919","     276,628,894,232",14.14
경찰,"      21,300,737,030","       1,894,423,870","       8,314,253,418","      10,208,677,288",47.93
재난방재ㆍ민방위,"     720,409,527,990","      90,567,236,040","      84,161,529,149","     174,728,765,189",24.25
소방,"   1,214,972,266,410","      31,603,309,403","      60,088,142,352","      91,691,451,755",7.55
교육,"   4,296,666,500,894","     583,268,453,884","     638,373,877,211","   1,221,642,331,095",28.43
유아및초중등교육,"   4,261,989,585,630","     576,253,085,140","     627,419,165,770","   1,203,672,250,910",28.24
평생ㆍ직업교육,"      34,676,915,264","       7,015,368,744","      10,954,711,441","      17,970,080,185",51.82
문화및관광,"   1,099,730,636,187","     389,111,078,587","     217,377,304,918","     606,488,383,505",55.15
문화예술,"     408,038,189,457","     123,003,633,922","     104,652,712,679","     227,656,346,601",55.79
관광,"      97,406,467,250","      36,910,090,130","      19,621,523,640","      56,531,613,770",58.04
체육,"     216,761,849,060","      81,771,481,554","      50,782,547,955","     132,554,029,509",61.15
문화재,"     242,091,089,400","     125,484,027,920","      14,361,834,025","     139,845,861,945",57.77
문화및관광일반,"     135,433,041,020","      21,941,845,061","      27,958,686,619","      49,900,531,680",36.85
환경,"   2,884,850,085,923","     167,899,221,244","     239,722,119,043","     407,621,340,287",14.13
상하수도ㆍ수질,"   1,814,440,272,060","       4,405,454,570","      11,282,079,260","      15,687,533,830",0.86
폐기물,"     260,835,960,570","      63,330,932,253","      67,850,394,712","     131,181,326,965",50.29
대기,"     469,258,841,283","      64,783,042,060","      88,497,125,680","     153,280,167,740",32.66
자연,"      84,826,941,730","      11,879,027,483","      16,584,710,289","      28,463,737,772",33.56
환경보호일반,"     255,488,070,280","      23,500,764,878","      55,507,809,102","      79,008,573,980",30.92
사회복지,"  18,072,051,212,997","   5,588,557,861,261","   4,199,734,152,170","   9,788,292,013,431",54.16
취약계층지원,"   6,508,846,831,207","   2,227,691,660,327","   1,494,327,884,151","   3,722,019,544,478",57.18
보육ㆍ가족및여성,"   3,339,159,319,320","   1,029,698,560,820","     863,569,649,381","   1,893,268,210,201",56.7
노인ㆍ청소년,"   4,162,557,455,750","   1,451,810,535,020","   1,071,081,551,245","   2,522,892,086,265",60.61
노동,"     271,280,606,720","      70,833,099,247","      87,990,778,527","     158,823,877,774",58.55
주택,"   3,761,950,513,000","     796,595,400,087","     678,754,072,402","   1,475,349,472,489",39.22
사회복지일반,"      28,256,487,000","      11,928,605,760","       4,010,216,464","      15,938,822,224",56.41
보건,"     738,392,431,440","     243,978,460,738","     165,207,544,039","     409,186,004,777",55.42
보건의료,"     701,488,638,440","     233,106,945,528","     159,396,513,258","     392,503,458,786",55.95
식품의약안전,"      36,903,793,000","      10,871,515,210","       5,811,030,781","      16,682,545,991",45.21
농림해양수산,"      62,893,449,980","      29,057,900,968","       5,567,628,868","      34,625,529,836",55.05
농업ㆍ농촌,"      62,893,449,980","      29,057,900,968","       5,567,628,868","      34,625,529,836",55.05
산업ㆍ중소기업및에너지,"   1,111,063,099,002","     240,937,195,916","     216,767,644,532","     457,704,840,448",41.2
산업금융지원,"     375,613,247,000","      41,956,944,130","      52,194,712,820","      94,151,656,950",25.07
무역및투자유치,"      17,236,269,000","       6,298,962,786","       2,190,463,247","       8,489,426,033",49.25
산업진흥ㆍ고도화,"     568,868,627,152","     153,985,051,181","     132,804,789,306","     286,789,840,487",50.41
산업ㆍ중소기업일반,"     149,344,955,850","      38,696,237,819","      29,577,679,159","      68,273,916,978",45.72
교통및물류,"   6,355,209,377,186","     825,287,613,738","   1,406,947,622,841","   2,232,235,236,579",35.12
도로,"   1,167,570,765,333","     151,437,105,854","     253,461,353,513","     404,898,459,367",34.68
도시철도,"   1,521,986,482,792","     359,130,533,498","     414,030,603,588","     773,161,137,086",50.8
대중교통ㆍ물류등기타,"   3,665,652,129,061","     314,719,974,386","     739,455,665,740","   1,054,175,640,126",28.76
국토및지역개발,"   3,001,499,325,561","     145,196,219,871","     197,623,724,041","     342,819,943,912",11.42
수자원,"     272,455,810,490","      15,303,409,800","      29,728,891,880","      45,032,301,680",16.53
지역및도시,"   2,729,012,558,371","     129,892,810,071","     167,894,832,161","     297,787,642,232",10.91
산업단지,"          30,956,700",                   0,                   0,                   0,0
과학기술,"       7,307,834,000","         474,258,448","       1,223,080,970","       1,697,339,418",23.23
과학기술일반,"       7,307,834,000","         474,258,448","       1,223,080,970","       1,697,339,418",23.23
예비비,"     106,345,090,000",                   0,                   0,                   0,0
예비비,"     106,345,090,000",                   0,                   0,                   0,0
기타,"   2,879,446,469,000","     595,342,314,290","     400,923,199,483","     996,265,513,773",34.6
기타,"   2,879,446,469,000","     595,342,314,290","     400,923,199,483","     996,265,513,773",34.6
