집행현황,,,,,
,,,,,
분야별,예산현핵(A),조회기간전,조회기간내,누계(B),비율(B÷A)
일반공공행정,"  11,772,505,785,340",                   0,"   2,380,500,960,047","   2,380,500,960,047",20.22
입법및선거관리,"      37,854,688,000",                   0,"       5,409,291,334","       5,409,291,334",14.29
지방행정ㆍ재정지원,"   6,675,200,770,000",                   0,"   1,272,416,879,000","   1,272,416,879,000",19.06
재정ㆍ금융,"   4,323,566,728,000",                   0,"     940,280,727,644","     940,280,727,644",21.75
일반행정,"     735,883,599,340",                   0,"     162,394,062,069","     162,394,062,069",22.07
공공질서및안전,"   1,691,671,475,090",                   0,"     345,972,506,309","     345,972,506,309",20.45
경찰,"      16,959,595,000",                   0,"       2,322,464,792","       2,322,464,792",13.69
재난방재ㆍ민방위,"     512,858,971,500",                   0,"     297,244,755,100","     297,244,755,100",57.96
소방,"   1,161,852,908,590",                   0,"      46,405,286,417","      46,405,286,417",3.99
교육,"   4,340,611,096,350",                   0,"     531,362,787,199","     531,362,787,199",12.24
유아및초중등교육,"   4,299,319,443,910",                   0,"     521,987,572,099","     521,987,572,099",12.14
평생ㆍ직업교육,"      41,291,652,440",                   0,"       9,375,215,100","       9,375,215,100",22.7
문화및관광,"     986,038,865,587",                   0,"     342,437,972,061","     342,437,972,061",34.73
문화예술,"     403,946,706,477",                   0,"      89,649,141,761","      89,649,141,761",22.19
관광,"      84,697,323,000",                   0,"      42,328,274,090","      42,328,274,090",49.98
체육,"     193,520,785,010",                   0,"      65,890,051,510","      65,890,051,510",34.05
문화재,"     187,186,183,110",                   0,"     125,255,383,780","     125,255,383,780",66.91
문화및관광일반,"     116,687,867,990",                   0,"      19,315,120,920","      19,315,120,920",16.55
환경,"   2,628,638,318,956",                   0,"     155,582,224,446","     155,582,224,446",5.92
상하수도ㆍ수질,"   1,712,914,779,590",                   0,"       2,871,626,032","       2,871,626,032",0.17
폐기물,"     229,158,560,200",                   0,"      43,002,924,110","      43,002,924,110",18.77
대기,"     413,641,700,510",                   0,"      78,783,391,630","      78,783,391,630",19.05
자연,"      74,769,836,830",                   0,"      10,036,601,600","      10,036,601,600",13.42
환경보호일반,"     198,153,441,826",                   0,"      20,887,681,074","      20,887,681,074",10.54
사회복지,"  17,224,949,742,829",                   0,"   4,552,114,392,346","   4,552,114,392,346",26.43
취약계층지원,"   6,253,507,982,860",                   0,"   1,922,132,285,929","   1,922,132,285,929",30.74
보육ㆍ가족및여성,"   3,081,323,779,780",                   0,"     933,545,246,950","     933,545,246,950",30.3
노인ㆍ청소년,"   3,880,804,796,989",                   0,"   1,056,165,042,805","   1,056,165,042,805",27.22
노동,"     278,038,823,000",                   0,"      70,281,316,935","      70,281,316,935",25.28
주택,"   3,702,275,762,200",                   0,"     560,674,454,632","     560,674,454,632",15.14
사회복지일반,"      28,998,598,000",                   0,"       9,316,045,095","       9,316,045,095",32.13
보건,"     659,923,907,300",                   0,"     213,110,054,766","     213,110,054,766",32.29
보건의료,"     632,365,340,300",                   0,"     202,988,141,566","     202,988,141,566",32.1
식품의약안전,"      27,558,567,000",                   0,"      10,121,913,200","      10,121,913,200",36.73
농림해양수산,"     116,643,816,200",                   0,"      21,221,965,497","      21,221,965,497",18.19
농업ㆍ농촌,"     116,643,816,200",                   0,"      21,221,965,497","      21,221,965,497",18.19
산업ㆍ중소기업및에너지,"   1,181,773,185,849",                   0,"     289,840,917,442","     289,840,917,442",24.53
산업금융지원,"     372,643,137,000",                   0,"      53,996,690,930","      53,996,690,930",14.49
무역및투자유치,"      16,577,362,000",                   0,"       4,887,531,980","       4,887,531,980",29.48
산업진흥ㆍ고도화,"     635,326,236,499",                   0,"     199,791,797,160","     199,791,797,160",31.45
산업ㆍ중소기업일반,"     157,226,450,350",                   0,"      31,164,897,372","      31,164,897,372",19.82
교통및물류,"   6,816,330,937,652",                   0,"   1,127,781,234,254","   1,127,781,234,254",16.55
도로,"   1,349,231,370,215",                   0,"     227,394,796,826","     227,394,796,826",16.85
도시철도,"   1,663,501,159,280",                   0,"     147,656,818,304","     147,656,818,304",8.88
대중교통ㆍ물류등기타,"   3,803,598,408,157",                   0,"     752,729,619,124","     752,729,619,124",19.79
국토및지역개발,"   3,222,651,173,470",                   0,"     171,188,818,082","     171,188,818,082",5.31
수자원,"     200,306,522,650",                   0,"      16,565,200,650","      16,565,200,650",8.27
지역및도시,"   3,021,323,650,820",                   0,"     153,602,617,432","     153,602,617,432",5.08
산업단지,"       1,021,000,000",                   0,"       1,021,000,000","       1,021,000,000",100
과학기술,"       2,574,104,000",                   0,"         331,918,670","         331,918,670",12.89
과학기술일반,"       2,574,104,000",                   0,"         331,918,670","         331,918,670",12.89
예비비,"     117,111,715,000",                   0,                   0,                   0,0
예비비,"     117,111,715,000",                   0,                   0,                   0,0
기타,"   2,650,247,191,000",                   0,"     597,753,440,750","     597,753,440,750",22.55
기타,"   2,650,247,191,000",                   0,"     597,753,440,750","     597,753,440,750",22.55
