집행현황,,,,,
,,,,,
분야별,예산현핵(A),조회기간전,조회기간내,누계(B),비율(B÷A)
일반공공행정,"  10,165,837,874,610",                   0,"   2,181,047,164,537","   2,181,047,164,537",21.45
입법및선거관리,"      41,133,141,080",                   0,"       7,203,548,873","       7,203,548,873",17.51
지방행정ㆍ재정지원,"   6,614,538,984,000",                   0,"   1,696,801,814,000","   1,696,801,814,000",25.65
재정ㆍ금융,"   2,810,744,437,000",                   0,"     344,903,564,730","     344,903,564,730",12.27
일반행정,"     699,421,312,530",                   0,"     132,138,236,934","     132,138,236,934",18.89
공공질서및안전,"   1,877,896,515,380",                   0,"     114,710,341,406","     114,710,341,406",6.11
경찰,"      19,615,700,000",                   0,"       2,052,162,670","       2,052,162,670",10.46
재난방재ㆍ민방위,"     674,486,051,590",                   0,"      86,121,628,104","      86,121,628,104",12.77
소방,"   1,183,794,763,790",                   0,"      26,536,550,632","      26,536,550,632",2.24
교육,"   4,276,181,561,800",                   0,"     708,988,950,910","     708,988,950,910",16.58
유아및초중등교육,"   4,175,244,481,140",                   0,"     675,620,395,800","     675,620,395,800",16.18
고등교육,"      63,775,656,000",                   0,"      25,509,062,000","      25,509,062,000",40
평생ㆍ직업교육,"      37,161,424,660",                   0,"       7,859,493,110","       7,859,493,110",21.15
문화및관광,"   1,132,045,008,826",                   0,"     444,212,854,545","     444,212,854,545",39.24
문화예술,"     416,703,480,820",                   0,"     135,287,139,969","     135,287,139,969",32.47
관광,"      97,797,399,600",                   0,"      44,647,596,400","      44,647,596,400",45.65
체육,"     240,446,566,550",                   0,"      70,012,223,820","      70,012,223,820",29.12
문화재,"     268,878,531,390",                   0,"     169,105,767,930","     169,105,767,930",62.89
문화및관광일반,"     108,219,030,466",                   0,"      25,160,126,426","      25,160,126,426",23.25
환경,"   2,802,683,075,293",                   0,"     199,827,660,982","     199,827,660,982",7.13
상하수도ㆍ수질,"   1,857,391,130,540",                   0,"       7,450,293,100","       7,450,293,100",0.4
폐기물,"     301,117,297,820",                   0,"      58,595,839,121","      58,595,839,121",19.46
대기,"     347,636,628,950",                   0,"      95,217,771,160","      95,217,771,160",27.39
자연,"      91,470,910,610",                   0,"       9,734,295,310","       9,734,295,310",10.64
환경보호일반,"     205,067,107,373",                   0,"      28,829,462,291","      28,829,462,291",14.06
사회복지,"  18,920,987,060,511",                   0,"   5,768,024,638,571","   5,768,024,638,571",30.48
취약계층지원,"   7,052,358,251,821",                   0,"   2,465,411,028,328","   2,465,411,028,328",34.96
보육,"   2,952,868,726,650",                   0,"     917,304,724,739","     917,304,724,739",31.06
가족·여성,"     284,673,599,000",                   0,"      93,818,082,933","      93,818,082,933",32.96
노인,"   4,271,450,346,000",                   0,"   1,494,750,633,006","   1,494,750,633,006",34.99
청소년,"      94,497,964,800",                   0,"      44,926,541,010","      44,926,541,010",47.54
노동,"     264,712,543,000",                   0,"      57,314,933,488","      57,314,933,488",21.65
주택,"   3,976,172,005,720",                   0,"     685,733,840,753","     685,733,840,753",17.25
사회복지일반,"      24,253,623,520",                   0,"       8,764,854,314","       8,764,854,314",36.14
보건,"     729,630,702,970",                   0,"     287,985,268,316","     287,985,268,316",39.47
보건의료,"     686,108,189,970",                   0,"     279,119,971,666","     279,119,971,666",40.68
식품의약안전,"      43,522,513,000",                   0,"       8,865,296,650","       8,865,296,650",20.37
농림해양수산,"      61,747,355,190",                   0,"      16,832,164,539","      16,832,164,539",27.26
농업ㆍ농촌,"      61,747,355,190",                   0,"      16,832,164,539","      16,832,164,539",27.26
산업ㆍ중소기업및에너지,"   1,026,507,918,363",                   0,"     296,005,145,432","     296,005,145,432",28.84
산업금융지원,"     294,415,084,000",                   0,"     124,985,639,070","     124,985,639,070",42.45
무역및투자유치,"      18,043,355,000",                   0,"       2,254,164,709","       2,254,164,709",12.49
산업진흥ㆍ고도화,"     555,070,846,363",                   0,"     127,672,707,196","     127,672,707,196",23
산업ㆍ중소기업일반,"     158,978,633,000",                   0,"      41,092,634,457","      41,092,634,457",25.85
교통및물류,"   5,707,467,601,726",                   0,"     977,956,583,613","     977,956,583,613",17.13
도로,"   1,212,943,442,170",                   0,"     257,823,868,847","     257,823,868,847",21.26
도시철도,"   1,189,634,523,239",                   0,"     319,707,002,271","     319,707,002,271",26.87
대중교통ㆍ물류등기타,"   3,304,889,636,317",                   0,"     400,425,712,495","     400,425,712,495",12.12
국토및지역개발,"   3,173,992,201,990",                   0,"     126,006,584,323","     126,006,584,323",3.97
수자원,"     304,483,187,360",                   0,"      17,670,462,790","      17,670,462,790",5.8
지역및도시,"   2,869,509,014,630",                   0,"     108,336,121,533","     108,336,121,533",3.78
과학기술,"       7,560,933,220",                   0,"         836,574,400","         836,574,400",11.06
과학기술일반,"       7,560,933,220",                   0,"         836,574,400","         836,574,400",11.06
예비비,"      58,443,254,000",                   0,                   0,                   0,0
예비비,"      58,443,254,000",                   0,                   0,                   0,0
기타,"   3,183,915,221,000",                   0,"     593,270,946,746","     593,270,946,746",18.63
기타,"   3,183,915,221,000",                   0,"     593,270,946,746","     593,270,946,746",18.63
