집행현황,,,,,
,,,,,
분야별,예산현핵(A),조회기간전,조회기간내,누계(B),비율(B÷A)
일반공공행정,"  11,351,854,222,140","   4,506,612,926,244","   1,761,775,043,627","   6,268,387,969,871",55.22
입법및선거관리,"      36,503,693,710","      12,049,053,270","       8,515,937,281","      20,564,990,551",56.34
지방행정ㆍ재정지원,"   6,539,100,736,000","   3,153,832,401,760","   1,465,659,176,000","   4,619,491,577,760",70.64
재정ㆍ금융,"   4,014,398,608,000","     982,614,121,523","     124,107,256,140","   1,106,721,377,663",27.57
일반행정,"     761,851,184,430","     358,117,349,691","     163,492,674,206","     521,610,023,897",68.47
공공질서및안전,"   2,080,234,789,430","     276,628,894,232","     184,909,536,742","     461,538,430,974",22.19
경찰,"      21,300,737,030","      10,208,677,288","       4,097,282,270","      14,305,959,558",67.16
재난방재ㆍ민방위,"     842,592,085,990","     174,728,765,189","     142,289,768,645","     317,018,533,834",37.62
소방,"   1,216,341,966,410","      91,691,451,755","      38,522,485,827","     130,213,937,582",10.71
교육,"   4,296,666,500,894","   1,221,642,331,095","   1,408,332,423,400","   2,629,974,754,495",61.21
유아및초중등교육,"   4,261,989,585,630","   1,203,672,250,910","   1,401,675,048,000","   2,605,347,298,910",61.13
평생ㆍ직업교육,"      34,676,915,264","      17,970,080,185","       6,657,375,400","      24,627,455,585",71.02
문화및관광,"   1,108,205,153,187","     606,488,383,505","     242,010,045,975","     848,498,429,480",76.57
문화예술,"     408,138,189,457","     227,656,346,601","      90,138,117,975","     317,794,464,576",77.86
관광,"      97,496,052,250","      56,531,613,770","      16,910,114,790","      73,441,728,560",75.33
체육,"     225,046,781,060","     132,554,029,509","      51,555,804,270","     184,109,833,779",81.81
문화재,"     242,091,089,400","     139,845,861,945","      58,485,154,160","     198,331,016,105",81.92
문화및관광일반,"     135,433,041,020","      49,900,531,680","      24,920,854,780","      74,821,386,460",55.25
환경,"   2,912,891,618,923","     407,621,340,287","     218,199,239,268","     625,820,579,555",21.48
상하수도ㆍ수질,"   1,830,041,685,060","      15,687,533,830","      13,715,887,202","      29,403,421,032",1.61
폐기물,"     261,608,376,570","     131,181,326,965","      42,089,703,460","     173,271,030,425",66.23
대기,"     480,533,545,283","     153,280,167,740","     100,616,193,810","     253,896,361,550",52.84
자연,"      84,826,941,730","      28,463,737,772","       9,518,375,121","      37,982,112,893",44.78
환경보호일반,"     255,881,070,280","      79,008,573,980","      52,259,079,675","     131,267,653,655",51.3
사회복지,"  18,125,764,355,997","   9,788,292,013,431","   3,479,757,986,734","  13,268,050,000,165",73.2
취약계층지원,"   6,548,794,970,207","   3,722,019,544,478","   1,395,852,771,450","   5,117,872,315,928",78.15
보육ㆍ가족및여성,"   3,339,556,927,320","   1,893,268,210,201","     717,508,724,163","   2,610,776,934,364",78.18
노인ㆍ청소년,"   4,162,589,269,750","   2,522,892,086,265","     677,067,147,815","   3,199,959,234,080",76.87
노동,"     271,450,606,720","     158,823,877,774","      72,772,241,648","     231,596,119,422",85.32
주택,"   3,775,116,095,000","   1,475,349,472,489","     609,720,056,002","   2,085,069,528,491",55.23
사회복지일반,"      28,256,487,000","      15,938,822,224","       6,837,045,656","      22,775,867,880",80.6
보건,"     740,907,120,440","     409,186,004,777","     185,352,876,809","     594,538,881,586",80.24
보건의료,"     702,049,872,440","     392,503,458,786","     183,560,579,617","     576,064,038,403",82.05
식품의약안전,"      38,857,248,000","      16,682,545,991","       1,792,297,192","      18,474,843,183",47.55
농림해양수산,"      64,208,909,980","      34,625,529,836","       9,090,617,124","      43,716,146,960",68.08
농업ㆍ농촌,"      64,208,909,980","      34,625,529,836","       9,090,617,124","      43,716,146,960",68.08
산업ㆍ중소기업및에너지,"   1,182,058,429,002","     457,704,840,448","     259,252,301,714","     716,957,142,162",60.65
산업금융지원,"     392,183,760,000","      94,151,656,950","     111,929,835,240","     206,081,492,190",52.55
무역및투자유치,"      17,623,814,000","       8,489,426,033","       2,796,621,532","      11,286,047,565",64.04
산업진흥ㆍ고도화,"     573,876,187,152","     286,789,840,487","     109,459,282,607","     396,249,123,094",69.05
산업ㆍ중소기업일반,"     198,374,667,850","      68,273,916,978","      35,066,562,335","     103,340,479,313",52.09
교통및물류,"   6,372,895,343,186","   2,232,235,236,579","   1,132,501,752,196","   3,364,736,988,775",52.8
도로,"   1,180,469,631,333","     404,898,459,367","     198,666,922,645","     603,565,382,012",51.13
도시철도,"   1,521,986,482,792","     773,161,137,086","     156,787,187,574","     929,948,324,660",61.1
대중교통ㆍ물류등기타,"   3,670,439,229,061","   1,054,175,640,126","     777,047,641,977","   1,831,223,282,103",49.89
국토및지역개발,"   3,002,489,025,561","     342,819,943,912","     136,828,291,786","     479,648,235,698",15.98
수자원,"     272,964,810,490","      45,032,301,680","      27,868,093,760","      72,900,395,440",26.71
지역및도시,"   2,729,493,258,371","     297,787,642,232","     108,929,241,326","     406,716,883,558",14.9
산업단지,"          30,956,700",                   0,"          30,956,700","          30,956,700",100
과학기술,"       7,307,834,000","       1,697,339,418","       2,029,354,600","       3,726,694,018",51
과학기술일반,"       7,307,834,000","       1,697,339,418","       2,029,354,600","       3,726,694,018",51
예비비,"      89,084,331,000",                   0,                   0,                   0,0
예비비,"      89,084,331,000",                   0,                   0,                   0,0
기타,"   2,906,956,996,000","     996,265,513,773","     519,859,937,806","   1,516,125,451,579",52.16
기타,"   2,906,956,996,000","     996,265,513,773","     519,859,937,806","   1,516,125,451,579",52.16
