집행현황,,,,,
,,,,,
분야별,예산현핵(A),조회기간전,조회기간내,누계(B),비율(B÷A)
일반공공행정,"  13,887,374,927,340","   4,582,670,794,580","   2,244,094,363,368","   6,826,765,157,948",49.16
입법및선거관리,"      39,057,616,000","      12,438,960,932","       7,715,965,306","      20,154,926,238",51.6
지방행정ㆍ재정지원,"   7,228,422,690,000","   2,951,433,443,000","   1,609,833,197,000","   4,561,266,640,000",63.1
재정ㆍ금융,"   5,847,437,029,000","   1,290,910,338,984","     482,348,268,870","   1,773,258,607,854",30.33
일반행정,"     772,457,592,340","     327,888,051,664","     144,196,932,192","     472,084,983,856",61.11
공공질서및안전,"   1,867,288,000,090","     469,048,857,638","     117,535,402,879","     586,584,260,517",31.41
경찰,"      16,959,595,000","       6,326,490,112","       3,395,432,940","       9,721,923,052",57.32
재난방재ㆍ민방위,"     681,993,186,500","     344,095,976,070","      79,996,718,843","     424,092,694,913",62.18
소방,"   1,168,335,218,590","     118,626,391,456","      34,143,251,096","     152,769,642,552",13.08
교육,"   4,676,553,163,350","   1,459,006,271,029","     749,931,839,749","   2,208,938,110,778",47.23
유아및초중등교육,"   4,635,411,510,910","   1,443,926,969,079","     746,395,933,863","   2,190,322,902,942",47.25
평생ㆍ직업교육,"      41,141,652,440","      15,079,301,950","       3,535,905,886","      18,615,207,836",45.25
문화및관광,"   1,034,089,873,587","     554,739,849,639","     155,672,778,101","     710,412,627,740",68.7
문화예술,"     418,999,944,477","     197,570,269,305","      80,164,994,725","     277,735,264,030",66.29
관광,"      98,146,703,000","      47,304,957,010","      16,388,831,530","      63,693,788,540",64.9
체육,"     199,667,961,010","     122,359,806,240","      32,463,336,520","     154,823,142,760",77.54
문화재,"     193,686,984,110","     137,727,021,530","      17,709,327,170","     155,436,348,700",80.25
문화및관광일반,"     123,588,280,990","      49,777,795,554","       8,946,288,156","      58,724,083,710",47.52
환경,"   2,852,789,661,956","     371,096,698,119","     180,786,406,520","     551,883,104,639",19.35
상하수도ㆍ수질,"   1,741,791,189,590","      19,255,619,067","       3,248,626,320","      22,504,245,387",1.29
폐기물,"     230,632,549,200","     103,915,565,872","      43,672,400,667","     147,587,966,539",63.99
대기,"     587,482,502,510","     175,181,611,460","      83,479,104,050","     258,660,715,510",44.03
자연,"      80,945,500,830","      18,143,708,990","       6,432,318,170","      24,576,027,160",30.36
환경보호일반,"     211,937,919,826","      54,600,192,730","      43,953,957,313","      98,554,150,043",46.5
사회복지,"  17,629,837,843,829","   9,106,417,067,053","   3,513,497,419,875","  12,619,914,486,928",71.58
취약계층지원,"   6,394,401,268,860","   3,717,488,282,085","   1,352,208,798,328","   5,069,697,080,413",79.28
보육ㆍ가족및여성,"   3,147,992,470,780","   1,708,418,475,325","     671,493,188,269","   2,379,911,663,594",75.6
노인ㆍ청소년,"   3,899,656,398,989","   2,031,179,914,903","     905,056,699,066","   2,936,236,613,969",75.29
노동,"     298,529,023,000","     152,022,745,647","      60,248,973,345","     212,271,718,992",71.11
주택,"   3,855,492,629,200","   1,479,422,939,468","     515,656,618,917","   1,995,079,558,385",51.75
사회복지일반,"      33,766,053,000","      17,884,709,625","       8,833,141,950","      26,717,851,575",79.13
보건,"     676,300,865,300","     381,024,429,158","     123,334,517,996","     504,358,947,154",74.58
보건의료,"     646,126,227,300","     364,614,184,458","     120,964,393,446","     485,578,577,904",75.15
식품의약안전,"      30,174,638,000","      16,410,244,700","       2,370,124,550","      18,780,369,250",62.24
농림해양수산,"     117,869,357,200","      46,106,183,114","      21,552,455,838","      67,658,638,952",57.4
농업ㆍ농촌,"     117,869,357,200","      46,106,183,114","      21,552,455,838","      67,658,638,952",57.4
산업ㆍ중소기업및에너지,"   1,318,285,231,849","     548,024,480,858","     175,223,428,322","     723,247,909,180",54.86
산업금융지원,"     426,993,970,000","     112,895,420,290","      40,881,596,080","     153,777,016,370",36.01
무역및투자유치,"      17,160,645,000","       6,825,886,866","       2,820,379,175","       9,646,266,041",56.21
산업진흥ㆍ고도화,"     674,158,793,499","     374,544,197,041","     103,710,412,987","     478,254,610,028",70.94
산업ㆍ중소기업일반,"     199,971,823,350","      53,758,976,661","      27,811,040,080","      81,570,016,741",40.79
교통및물류,"   7,778,490,923,652","   2,465,093,525,404","     845,625,596,325","   3,310,719,121,729",42.56
도로,"   1,383,695,032,215","     454,993,933,417","     177,380,964,326","     632,374,897,743",45.7
도시철도,"   1,623,048,922,280","     455,334,269,622","     112,692,777,662","     568,027,047,284",35
대중교통ㆍ물류등기타,"   4,771,746,969,157","   1,554,765,322,365","     555,551,854,337","   2,110,317,176,702",44.23
국토및지역개발,"   2,949,798,554,470","     364,111,655,653","     138,483,638,893","     502,595,294,546",17.04
수자원,"     204,390,792,650","      78,159,422,680","      16,404,311,630","      94,563,734,310",46.27
지역및도시,"   2,744,286,761,820","     284,931,232,973","     122,079,327,263","     407,010,560,236",14.83
산업단지,"       1,121,000,000","       1,021,000,000",                   0,"       1,021,000,000",91.08
과학기술,"       2,811,104,000","       1,062,613,650","         718,494,670","       1,781,108,320",63.36
과학기술일반,"       2,811,104,000","       1,062,613,650","         718,494,670","       1,781,108,320",63.36
예비비,"     100,028,915,000",                   0,                   0,                   0,0
예비비,"     100,028,915,000",                   0,                   0,                   0,0
기타,"   2,874,001,075,000","     984,660,913,752","     450,328,828,038","   1,434,989,741,790",49.93
기타,"   2,874,001,075,000","     984,660,913,752","     450,328,828,038","   1,434,989,741,790",49.93
