집행현황,,,,,
,,,,,
분야별,예산현핵(A),조회기간전,조회기간내,누계(B),비율(B÷A)
일반공공행정,"  11,312,106,604,140","   6,268,387,969,871","   4,350,228,833,960","  10,618,616,803,831",93.87
입법및선거관리,"      36,503,693,710","      20,564,990,551","      12,290,204,017","      32,855,194,568",90.01
지방행정ㆍ재정지원,"   6,539,100,736,000","   4,619,491,577,760","   1,878,977,958,000","   6,498,469,535,760",99.38
재정ㆍ금융,"   3,974,398,608,000","   1,106,721,377,663","   2,284,049,151,448","   3,390,770,529,111",85.32
일반행정,"     762,103,566,430","     521,610,023,897","     174,911,520,495","     696,521,544,392",91.39
공공질서및안전,"   2,099,596,691,430","     461,538,430,974","   1,469,627,858,477","   1,931,166,289,451",91.98
경찰,"      21,500,737,030","      14,305,959,558","       6,746,766,283","      21,052,725,841",97.92
재난방재ㆍ민방위,"     861,753,987,990","     317,018,533,834","     429,460,400,056","     746,478,933,890",86.62
소방,"   1,216,341,966,410","     130,213,937,582","   1,033,420,692,138","   1,163,634,629,720",95.67
교육,"   4,296,666,500,894","   2,629,974,754,495","   1,607,052,104,899","   4,237,026,859,394",98.61
유아및초중등교육,"   4,261,989,585,630","   2,605,347,298,910","   1,602,109,679,369","   4,207,456,978,279",98.72
평생ㆍ직업교육,"      34,676,915,264","      24,627,455,585","       4,942,425,530","      29,569,881,115",85.27
문화및관광,"   1,116,057,153,187","     848,498,429,480","     179,567,905,164","   1,028,066,334,644",92.12
문화예술,"     409,308,189,457","     317,794,464,576","      69,896,365,087","     387,690,829,663",94.72
관광,"      97,696,052,250","      73,441,728,560","      21,217,011,818","      94,658,740,378",96.89
체육,"     231,346,781,060","     184,109,833,779","      28,455,386,298","     212,565,220,077",91.88
문화재,"     242,273,089,400","     198,331,016,105","      18,210,828,333","     216,541,844,438",89.38
문화및관광일반,"     135,433,041,020","      74,821,386,460","      41,788,313,628","     116,609,700,088",86.1
환경,"   2,919,803,980,923","     625,820,579,555","     276,624,961,462","     902,445,541,017",30.91
상하수도ㆍ수질,"   1,830,210,186,060","      29,403,421,032","      15,414,167,214","      44,817,588,246",2.45
폐기물,"     265,480,376,570","     173,271,030,425","      62,910,666,581","     236,181,697,006",88.96
대기,"     481,673,719,283","     253,896,361,550","     111,735,339,540","     365,631,701,090",75.91
자연,"      86,575,262,730","      37,982,112,893","      27,705,364,441","      65,687,477,334",75.87
환경보호일반,"     255,864,436,280","     131,267,653,655","      58,859,423,686","     190,127,077,341",74.31
사회복지,"  18,239,655,465,997","  13,268,050,000,165","   4,207,014,360,286","  17,475,064,360,451",95.81
취약계층지원,"   6,628,217,021,207","   5,117,872,315,928","   1,244,764,139,446","   6,362,636,455,374",95.99
보육ㆍ가족및여성,"   3,346,974,210,320","   2,610,776,934,364","     679,818,639,647","   3,290,595,574,011",98.32
노인ㆍ청소년,"   4,162,752,432,750","   3,199,959,234,080","     848,121,043,785","   4,048,080,277,865",97.25
노동,"     271,484,117,720","     231,596,119,422","      32,580,780,293","     264,176,899,715",97.31
주택,"   3,801,971,197,000","   2,085,069,528,491","   1,398,187,755,636","   3,483,257,284,127",91.62
사회복지일반,"      28,256,487,000","      22,775,867,880","       3,542,001,479","      26,317,869,359",93.14
보건,"     746,203,543,440","     594,538,881,586","     116,818,225,551","     711,357,107,137",95.33
보건의료,"     707,346,295,440","     576,064,038,403","     107,911,842,576","     683,975,880,979",96.7
식품의약안전,"      38,857,248,000","      18,474,843,183","       8,906,382,975","      27,381,226,158",70.47
농림해양수산,"      64,467,607,980","      43,716,146,960","      14,714,577,307","      58,430,724,267",90.64
농업ㆍ농촌,"      64,467,607,980","      43,716,146,960","      14,714,577,307","      58,430,724,267",90.64
산업ㆍ중소기업및에너지,"   1,184,842,429,002","     716,957,142,162","     205,101,764,541","     922,058,906,703",77.82
산업금융지원,"     392,183,760,000","     206,081,492,190","      38,335,606,990","     244,417,099,180",62.32
무역및투자유치,"      17,623,814,000","      11,286,047,565","       2,734,771,005","      14,020,818,570",79.56
산업진흥ㆍ고도화,"     573,960,187,152","     396,249,123,094","     124,578,612,628","     520,827,735,722",90.74
산업ㆍ중소기업일반,"     201,074,667,850","     103,340,479,313","      39,452,773,918","     142,793,253,231",71.02
교통및물류,"   6,378,960,995,186","   3,364,736,988,775","   2,583,137,440,693","   5,947,874,429,468",93.24
도로,"   1,184,831,603,333","     603,565,382,012","     417,463,267,045","   1,021,028,649,057",86.18
도시철도,"   1,522,186,482,792","     929,948,324,660","     456,271,666,885","   1,386,219,991,545",91.07
대중교통ㆍ물류등기타,"   3,671,942,909,061","   1,831,223,282,103","   1,709,402,506,763","   3,540,625,788,866",96.42
국토및지역개발,"   2,962,964,077,561","     479,648,235,698","   2,084,450,277,640","   2,564,098,513,338",86.54
수자원,"     272,964,810,490","      72,900,395,440","      51,011,356,770","     123,911,752,210",45.39
지역및도시,"   2,689,968,310,371","     406,716,883,558","   2,033,438,920,870","   2,440,155,804,428",90.71
산업단지,"          30,956,700","          30,956,700",                   0,"          30,956,700",100
과학기술,"       7,307,834,000","       3,726,694,018","       2,175,275,713","       5,901,969,731",80.76
과학기술일반,"       7,307,834,000","       3,726,694,018","       2,175,275,713","       5,901,969,731",80.76
예비비,"      82,026,225,000",                   0,                   0,                   0,0
예비비,"      82,026,225,000",                   0,                   0,                   0,0
기타,"   2,843,012,861,000","   1,516,125,451,579","     430,062,358,736","   1,946,187,810,315",68.46
기타,"   2,843,012,861,000","   1,516,125,451,579","     430,062,358,736","   1,946,187,810,315",68.46
