집행현황,,,,,
,,,,,
분야별,예산현핵(A),조회기간전,조회기간내,누계(B),비율(B÷A)
일반공공행정,"  10,170,744,298,610","   2,181,047,164,537","   1,644,132,175,713","   3,825,179,340,250",37.61
입법및선거관리,"      41,133,141,080","       7,203,548,873","       7,642,662,488","      14,846,211,361",36.09
지방행정ㆍ재정지원,"   6,614,538,984,000","   1,696,801,814,000","   1,247,764,093,000","   2,944,565,907,000",44.52
재정ㆍ금융,"   2,810,744,437,000","     344,903,564,730","     194,673,151,410","     539,576,716,140",19.2
일반행정,"     704,327,736,530","     132,138,236,934","     194,052,268,815","     326,190,505,749",46.31
공공질서및안전,"   1,886,183,874,380","     114,710,341,406","     104,471,182,384","     219,181,523,790",11.62
경찰,"      19,615,700,000","       2,052,162,670","       5,648,956,096","       7,701,118,766",39.26
재난방재ㆍ민방위,"     682,773,410,590","      86,121,628,104","      47,025,042,962","     133,146,671,066",19.5
소방,"   1,183,794,763,790","      26,536,550,632","      51,797,183,326","      78,333,733,958",6.62
교육,"   4,276,181,561,800","     708,988,950,910","     995,936,356,450","   1,704,925,307,360",39.87
유아및초중등교육,"   4,175,244,481,140","     675,620,395,800","     966,233,606,360","   1,641,854,002,160",39.32
고등교육,"      63,775,656,000","      25,509,062,000","      19,131,796,000","      44,640,858,000",70
평생ㆍ직업교육,"      37,161,424,660","       7,859,493,110","      10,570,954,090","      18,430,447,200",49.6
문화및관광,"   1,134,486,486,826","     444,212,854,545","     268,332,397,509","     712,545,252,054",62.81
문화예술,"     416,785,580,820","     135,287,139,969","     109,826,690,519","     245,113,830,488",58.81
관광,"      97,797,399,600","      44,647,596,400","      21,859,886,851","      66,507,483,251",68.01
체육,"     242,729,944,550","      70,012,223,820","      65,719,165,255","     135,731,389,075",55.92
문화재,"     268,954,531,390","     169,105,767,930","      37,455,444,724","     206,561,212,654",76.8
문화및관광일반,"     108,219,030,466","      25,160,126,426","      33,471,210,160","      58,631,336,586",54.18
환경,"   2,803,017,075,293","     199,827,660,982","     215,945,177,297","     415,772,838,279",14.83
상하수도ㆍ수질,"   1,857,391,130,540","       7,450,293,100","       9,582,935,070","      17,033,228,170",0.92
폐기물,"     301,201,297,820","      58,595,839,121","      61,882,500,133","     120,478,339,254",40
대기,"     347,636,628,950","      95,217,771,160","      74,521,812,130","     169,739,583,290",48.83
자연,"      91,720,910,610","       9,734,295,310","      15,956,940,886","      25,691,236,196",28.01
환경보호일반,"     205,067,107,373","      28,829,462,291","      54,000,989,078","      82,830,451,369",40.39
사회복지,"  18,945,966,624,511","   5,768,024,638,571","   4,576,282,749,410","  10,344,307,387,981",54.6
취약계층지원,"   7,052,674,251,821","   2,465,411,028,328","   2,102,970,982,653","   4,568,382,010,981",64.78
보육,"   2,952,868,726,650","     917,304,724,739","     738,111,767,769","   1,655,416,492,508",56.06
가족·여성,"     284,677,639,000","      93,818,082,933","      72,545,885,339","     166,363,968,272",58.44
노인,"   4,271,450,346,000","   1,494,750,633,006","     776,629,971,280","   2,271,380,604,286",53.18
청소년,"      94,497,964,800","      44,926,541,010","      26,025,345,470","      70,951,886,480",75.08
노동,"     264,932,643,000","      57,314,933,488","      78,567,529,097","     135,882,462,585",51.29
주택,"   4,000,611,429,720","     685,733,840,753","     776,881,649,192","   1,462,615,489,945",36.56
사회복지일반,"      24,253,623,520","       8,764,854,314","       4,549,618,610","      13,314,472,924",54.9
보건,"     733,480,945,970","     287,985,268,316","     171,775,103,887","     459,760,372,203",62.68
보건의료,"     689,958,432,970","     279,119,971,666","     158,696,972,743","     437,816,944,409",63.46
식품의약안전,"      43,522,513,000","       8,865,296,650","      13,078,131,144","      21,943,427,794",50.42
농림해양수산,"      61,754,688,190","      16,832,164,539","       4,560,373,059","      21,392,537,598",34.64
농업ㆍ농촌,"      61,754,688,190","      16,832,164,539","       4,560,373,059","      21,392,537,598",34.64
산업ㆍ중소기업및에너지,"   1,026,507,918,363","     296,005,145,432","     301,017,479,495","     597,022,624,927",58.16
산업금융지원,"     294,415,084,000","     124,985,639,070","      84,576,593,980","     209,562,233,050",71.18
무역및투자유치,"      18,043,355,000","       2,254,164,709","       3,798,021,210","       6,052,185,919",33.54
산업진흥ㆍ고도화,"     555,070,846,363","     127,672,707,196","     185,879,042,304","     313,551,749,500",56.49
산업ㆍ중소기업일반,"     158,978,633,000","      41,092,634,457","      26,763,822,001","      67,856,456,458",42.68
교통및물류,"   5,707,967,601,726","     977,956,583,613","   1,277,247,114,555","   2,255,203,698,168",39.51
도로,"   1,212,943,442,170","     257,823,868,847","     323,843,471,119","     581,667,339,966",47.96
도시철도,"   1,189,634,523,239","     319,707,002,271","     176,720,190,687","     496,427,192,958",41.73
대중교통ㆍ물류등기타,"   3,305,389,636,317","     400,425,712,495","     776,683,452,749","   1,177,109,165,244",35.61
국토및지역개발,"   3,175,062,201,990","     126,006,584,323","     456,485,619,672","     582,492,203,995",18.35
수자원,"     304,483,187,360","      17,670,462,790","      36,440,425,550","      54,110,888,340",17.77
지역및도시,"   2,870,579,014,630","     108,336,121,533","     420,045,194,122","     528,381,315,655",18.41
과학기술,"       7,560,933,220","         836,574,400","       2,618,709,110","       3,455,283,510",45.7
과학기술일반,"       7,560,933,220","         836,574,400","       2,618,709,110","       3,455,283,510",45.7
예비비,"      38,979,379,000",                   0,                   0,                   0,0
예비비,"      38,979,379,000",                   0,                   0,                   0,0
기타,"   3,176,022,345,000","     593,270,946,746","     431,235,874,128","   1,024,506,820,874",32.26
