집행현황,,,,,
,,,,,
분야별,예산현핵(A),조회기간전,조회기간내,누계(B),비율(B÷A)
일반공공행정,"  11,312,106,604,140","  10,605,260,184,770","      13,356,619,061","  10,618,616,803,831",93.87
입법및선거관리,"      36,503,693,710","      33,061,116,607","        -205,922,039","      32,855,194,568",90.01
지방행정ㆍ재정지원,"   6,539,100,736,000","   6,484,745,783,760","      13,723,752,000","   6,498,469,535,760",99.38
재정ㆍ금융,"   3,974,398,608,000","   3,390,791,369,441","         -20,840,330","   3,390,770,529,111",85.32
일반행정,"     762,103,566,430","     696,661,914,962","        -140,370,570","     696,521,544,392",91.39
공공질서및안전,"   2,099,596,691,430","   1,905,026,643,245","      26,139,646,206","   1,931,166,289,451",91.98
경찰,"      21,500,737,030","      20,954,120,882","          98,604,959","      21,052,725,841",97.92
재난방재ㆍ민방위,"     861,753,987,990","     720,389,968,130","      26,088,965,760","     746,478,933,890",86.62
소방,"   1,216,341,966,410","   1,163,682,554,233","         -47,924,513","   1,163,634,629,720",95.67
교육,"   4,296,666,500,894","   3,794,074,442,820","     442,952,416,574","   4,237,026,859,394",98.61
유아및초중등교육,"   4,261,989,585,630","   3,764,493,262,905","     442,963,715,374","   4,207,456,978,279",98.72
평생ㆍ직업교육,"      34,676,915,264","      29,581,179,915","         -11,298,800","      29,569,881,115",85.27
문화및관광,"   1,116,057,153,187","   1,026,384,210,301","       1,682,124,343","   1,028,066,334,644",92.12
문화예술,"     409,308,189,457","     386,218,242,804","       1,472,586,859","     387,690,829,663",94.72
관광,"      97,696,052,250","      94,635,378,770","          23,361,608","      94,658,740,378",96.89
체육,"     231,346,781,060","     212,411,515,714","         153,704,363","     212,565,220,077",91.88
문화재,"     242,273,089,400","     216,491,109,955","          50,734,483","     216,541,844,438",89.38
문화및관광일반,"     135,433,041,020","     116,627,963,058","         -18,262,970","     116,609,700,088",86.1
환경,"   2,919,803,980,923","     885,450,731,686","      16,994,809,331","     902,445,541,017",30.91
상하수도ㆍ수질,"   1,830,210,186,060","      43,971,184,052","         846,404,194","      44,817,588,246",2.45
폐기물,"     265,480,376,570","     235,021,120,745","       1,160,576,261","     236,181,697,006",88.96
대기,"     481,673,719,283","     364,782,997,320","         848,703,770","     365,631,701,090",75.91
자연,"      86,575,262,730","      63,155,974,754","       2,531,502,580","      65,687,477,334",75.87
환경보호일반,"     255,864,436,280","     178,519,454,815","      11,607,622,526","     190,127,077,341",74.31
사회복지,"  18,239,655,465,997","  17,367,959,965,546","     107,104,394,905","  17,475,064,360,451",95.81
취약계층지원,"   6,628,217,021,207","   6,362,692,675,051","         -56,219,677","   6,362,636,455,374",95.99
보육ㆍ가족및여성,"   3,346,974,210,320","   3,290,354,587,594","         240,986,417","   3,290,595,574,011",98.32
노인ㆍ청소년,"   4,162,752,432,750","   4,048,115,200,901","         -34,923,036","   4,048,080,277,865",97.25
노동,"     271,484,117,720","     264,245,306,726","         -68,407,011","     264,176,899,715",97.31
주택,"   3,801,971,197,000","   3,376,229,635,764","     107,027,648,363","   3,483,257,284,127",91.62
사회복지일반,"      28,256,487,000","      26,322,559,510","          -4,690,151","      26,317,869,359",93.14
보건,"     746,203,543,440","     710,382,205,678","         974,901,459","     711,357,107,137",95.33
보건의료,"     707,346,295,440","     682,988,088,515","         987,792,464","     683,975,880,979",96.7
식품의약안전,"      38,857,248,000","      27,394,117,163","         -12,891,005","      27,381,226,158",70.47
농림해양수산,"      64,467,607,980","      58,435,974,238","          -5,249,971","      58,430,724,267",90.64
농업ㆍ농촌,"      64,467,607,980","      58,435,974,238","          -5,249,971","      58,430,724,267",90.64
산업ㆍ중소기업및에너지,"   1,184,842,429,002","     922,276,625,880","        -217,719,177","     922,058,906,703",77.82
산업금융지원,"     392,183,760,000","     244,417,099,180",                   0,"     244,417,099,180",62.32
무역및투자유치,"      17,623,814,000","      14,059,249,959","         -38,431,389","      14,020,818,570",79.56
산업진흥ㆍ고도화,"     573,960,187,152","     520,985,089,140","        -157,353,418","     520,827,735,722",90.74
산업ㆍ중소기업일반,"     201,074,667,850","     142,815,187,601","         -21,934,370","     142,793,253,231",71.02
교통및물류,"   6,378,960,995,186","   5,919,973,844,017","      27,900,585,451","   5,947,874,429,468",93.24
도로,"   1,184,831,603,333","   1,004,806,311,013","      16,222,338,044","   1,021,028,649,057",86.18
도시철도,"   1,522,186,482,792","   1,384,811,643,961","       1,408,347,584","   1,386,219,991,545",91.07
대중교통ㆍ물류등기타,"   3,671,942,909,061","   3,530,355,889,043","      10,269,899,823","   3,540,625,788,866",96.42
국토및지역개발,"   2,962,964,077,561","   2,548,208,315,576","      15,890,197,762","   2,564,098,513,338",86.54
수자원,"     272,964,810,490","     117,989,407,390","       5,922,344,820","     123,911,752,210",45.39
지역및도시,"   2,689,968,310,371","   2,430,187,951,486","       9,967,852,942","   2,440,155,804,428",90.71
산업단지,"          30,956,700","          30,956,700",                   0,"          30,956,700",100
과학기술,"       7,307,834,000","       5,956,319,260","         -54,349,529","       5,901,969,731",80.76
과학기술일반,"       7,307,834,000","       5,956,319,260","         -54,349,529","       5,901,969,731",80.76
예비비,"      82,026,225,000",                   0,                   0,                   0,0
예비비,"      82,026,225,000",                   0,                   0,                   0,0
기타,"   2,843,012,861,000","   1,946,248,201,517","         -60,391,202","   1,946,187,810,315",68.46
기타,"   2,843,012,861,000","   1,946,248,201,517","         -60,391,202","   1,946,187,810,315",68.46
