시점,행정구역(시군구)별,성별,계,0 - 4세,5 - 9세,10 - 14세,15 - 19세,20 - 24세,25 - 29세,30 - 34세,35 - 39세,40 - 44세,45 - 49세,50 - 54세,55 - 59세,60 - 64세,65 - 69세,70 - 74세,75 - 79세,80세 이상,80 - 84세,85세 이상,85 - 89세,90 - 94세,95 - 99세,100세 이상
2023,전국,계,"51,145,884.5","1,380,804.5","2,050,235","2,341,519","2,329,282","2,861,651.5","3,428,923.5","3,345,284","3,221,366","4,013,266.5","3,932,778.5","4,488,255.5","4,100,065.5","4,190,183.5","3,282,269.5","2,229,036.5","1,653,502.5","2,297,461","1,313,968.5","983,492.5","688,566","236,889.5","50,293","7,744"
,,남자,"25,469,181","707,453","1,050,856.5","1,203,241","1,202,053","1,489,291.5","1,800,766","1,754,212","1,654,036","2,041,798","1,991,972","2,269,130.5","2,060,959","2,077,449","1,594,516.5","1,045,482","730,938.5","795,026.5","509,861.5","285,165","218,927.5","56,035","8,987.5","1,215"
,,여자,"25,676,703.5","673,351.5","999,378.5","1,138,278","1,127,229","1,372,360","1,628,157.5","1,591,072","1,567,330","1,971,468.5","1,940,806.5","2,219,125","2,039,106.5","2,112,734.5","1,687,753","1,183,554.5","922,564","1,502,434.5","804,107","698,327.5","469,638.5","180,854.5","41,305.5","6,529"
,서울특별시,계,"9,334,933.5","220,265.5","308,678","357,808.5","381,243","564,693.5","802,843.5","764,498.5","653,747","727,185.5","693,374.5","787,553","687,236","703,236","588,956","409,781","311,120.5","372,713.5","222,881.5","149,832","105,271","35,320.5","7,997","1,243.5"
,,남자,"4,517,716.5","113,547","157,926.5","183,789.5","194,709","265,562.5","385,727","383,059.5","326,054.5","360,869","341,614.5","388,467","335,669","335,890","274,771","188,076","138,414.5","143,570","94,385","49,185","37,602.5","9,638","1,687.5",257
,,여자,"4,817,217","106,718.5","150,751.5","174,019","186,534","299,131","417,116.5","381,439","327,692.5","366,316.5","351,760","399,086","351,567","367,346","314,185","221,705","172,706","229,143.5","128,496.5","100,647","67,668.5","25,682.5","6,309.5",986.5
,부산광역시,계,"3,291,326","78,305.5","121,997","133,933.5","130,393","177,426.5","208,199.5","200,972","190,947.5","249,587.5","236,897","276,037","262,703","297,235.5","258,134.5","184,261","129,523","154,773","94,504","60,269","43,269.5","13,677.5","2,927.5",394.5
,,남자,"1,604,893","40,143.5","62,579.5","68,769","66,992","90,994.5","107,521","104,174.5","97,257.5","126,325","119,051.5","136,075.5","126,638","140,289.5","121,359","84,194.5","57,329.5","55,199","37,460","17,739","14,012","3,229",440.5,57.5
,,여자,"1,686,433","38,162","59,417.5","65,164.5","63,401","86,432","100,678.5","96,797.5","93,690","123,262.5","117,845.5","139,961.5","136,065","156,946","136,775.5","100,066.5","72,193.5","99,574","57,044","42,530","29,257.5","10,448.5","2,487",337
,대구광역시,계,"2,372,562","59,547","94,764","106,649","109,453.5","137,540.5","150,989","143,435.5","135,914","177,123","181,869.5","215,325","202,017","202,866.5","157,212","113,543","77,986","106,327.5","62,908.5","43,419","31,388.5","9,946","1,837.5",247
