"측정년도","측정소명","이산화질소농도(ppm)","오존농도(ppm)","일산화탄소농도(ppm)","아황산가스(ppm)","미세먼지(㎍/㎥)","초미세먼지(㎍/㎥)"
"2023","강남구","0.0227","0.0312","0.41","0.0032","37","19"
"2023","강남대로","0.03","0.0205","0.57","0.0028","41","21"
"2023","강동구","0.0195","0.0263","0.43","0.0026","40","21"
"2023","강변북로","0.031","0.0221","0.55","0.0029","40","21"
"2023","강북구","0.0144","0.034","0.44","0.0023","38","19"
"2023","강서구","0.022","0.0316","0.49","0.003","43","20"
"2023","공항대로","0.0283","0.0263","0.45","0.0029","41","19"
"2023","관악구","0.023","0.031","0.49","0.0029","42","20"
"2023","관악산","0.0084","0.0483","0.26","0.0026","36","17"
"2023","광진구","0.0205","0.0294","0.47","0.0026","37","19"
"2023","구로구","0.0172","0.0276","0.38","0.0027","40","19"
"2023","금천구","0.0213","0.03","0.45","0.003","36","20"
"2023","남산","0.017","0.0349","0.49","0.0033","36","18"
"2023","노원구","0.02","0.03","0.47","0.0027","39","21"
"2023","도봉구","0.0163","0.034","0.51","0.0026","36","19"
"2023","도산대로","0.0232","0.0254","0.58","0.003","42","22"
"2023","동대문구","0.0206","0.0322","0.46","0.0032","39","20"
"2023","동작구","0.021","0.0336","0.4","0.0026","38","21"
"2023","동작대로","0.0326","0.0269","0.55","0.003","41","20"
"2023","마포구","0.0225","0.0321","0.47","0.0029","35","21"
"2023","마포아트센터","0.0211","0.0331","0.46","0.003","41","19"
"2023","북한산","0.0088","0.0355","0.32","0.0026","33","17"
"2023","서대문구","0.0161","0.0332","0.48","0.0032","33","17"
"2023","서울숲","0.0203","0.0271","0.53","0.0028","40","19"
"2023","서초구","0.0216","0.0281","0.42","0.0028","40","20"
"2023","성동구","0.021","0.0304","0.39","0.0028","38","19"
"2023","성북구","0.0221","0.029","0.5","0.0027","39","20"
"2023","세곡","0.022","0.0241","0.57","0.0032","42","19"
"2023","송파구","0.0242","0.0292","0.47","0.0026","39","20"
"2023","시흥대로","0.035","0.0211","0.51","0.0032","41","19"
"2023","신촌로","0.0284","0.0219","0.55","0.003","43","22"
"2023","양천구","0.022","0.0293","0.47","0.0029","40","21"
"2023","영등포구","0.0236","0.0303","0.45","0.0028","37","20"
"2023","영등포로","0.0305","0.0235","0.53","0.0029","40","21"
"2023","올림픽공원","0.0193","0.0297","0.5","0.0026","37","21"
"2023","용산구","0.0225","0.0311","0.48","0.0031","40","21"
"2023","은평구","0.0161","0.0299","0.49","0.0026","38","20"
"2023","자연사박물관","0.0186","0.0322","0.48","0.0029","36","17"
"2023","정릉로","0.0302","0.0227","0.53","0.0029","40","21"
"2023","종로","0.0235","0.0249","0.54","0.0033","37","17"
"2023","종로구","0.0204","0.0326","0.49","0.0031","37","20"
"2023","중구","0.0219","0.0321","0.45","0.0029","33","20"
"2023","중랑구","0.0204","0.0304","0.4","0.0024","36","20"
"2023","천호대로","0.029","0.0242","0.5","0.0028","40","19"
"2023","청계천로","0.0249","0.0258","0.51","0.0031","42","21"
"2023","한강대로","0.0273","0.0291","0.58","0.0033","46","22"
"2023","항동","0.0154","0.0294","0.55","0.0032","35","19"
"2023","행주","0.0187","0.0296","0.46","0.0028","38","17"
"2023","홍릉로","0.0277","0.0258","0.5","0.0032","38","20"
"2023","화랑로","0.0307","0.0214","0.5","0.0028","40","20"
